#Gene	TotalClinvarVariants	PLpMissense	BenignMissense	PLpNullVariants	PLpNonNullVariants
ADAMTS7:11173	83	0	71	0	0
DHRS7B:25979	7	0	7	0	0
DCST1:149095|DCST1-AS1:100505666	9	0	7	0	0
OSR1:130497	12	0	6	0	0
DSCC1:79075	6	0	5	0	0
TMF1:7110	31	0	31	0	0
TLR10:81793	26	0	19	0	0
XPOT:11260	11	0	11	0	0
KBTBD7:84078|LOC101929140:101929140	13	0	13	0	0
UTP14A:10813	19	0	19	0	0
LALBA:3906	3	0	3	0	0
GMPPB:29925	319	16	142	25	17
IFI44L:10964	21	0	18	0	0
NXPH4:11247	7	0	7	0	0
ARHGEF1:9138	463	0	183	2	0
ZNF7:7553|COMMD5:28991	11	0	11	0	0
CBFB:865	10	0	0	1	1
PLCL2:23228	3	0	1	0	0
PGRMC2:10424	6	0	5	0	0
EIF2B5:8893|EIF2B5-DT:105374249	8	0	0	0	0
AKAP10:11216	13	0	12	0	0
COA3:28958	16	0	12	1	1
PSMC4:5704	1	0	1	0	0
NHEJ1:79840	186	2	72	21	4
C3orf18:51161	3	0	3	0	0
MDGA2:161357	12	0	9	0	1
ITGB3:3690|LOC110121475:110121475	2	0	1	0	0
RGS19:10287	4	0	4	0	0
VSIG4:11326	19	0	16	0	0
DOLPP1:57171	3	0	3	0	0
SH3TC2:79628|LOC114004390:114004390	2	0	0	0	0
NDUFV2:4729|NDUFV2-AS1:101927275	67	2	20	4	2
ZNF76:7629	11	0	11	0	0
GEMIN8:54960	11	0	9	0	0
NKAIN3:286183	4	0	4	0	0
ISY1:57461|ISY1-RAB43:100534599	1	0	1	0	0
CHAT:1103|SLC18A3:6572	212	2	120	2	2
CDH23:64072|C10orf105:414152	401	3	156	29	1
FAM180B:399888	4	0	4	0	0
ATF7IP:55729	35	0	32	0	0
KDM2A:22992	16	0	14	0	0
DCXR:51181	12	0	10	0	0
CHST10:9486	15	0	15	0	0
MYOM1:8736	1398	0	639	0	0
SHBG:6462	19	0	16	0	0
USH2A:7399|USH2A-AS2:102723833	434	13	146	61	15
KHDC1:80759|LOC122539213:122539213	11	0	11	0	0
ITPKC:80271	24	0	23	0	0
FBN2:2201	2537	50	1170	27	59
SLF2:55719	30	0	30	0	0
CTTN:2017	31	0	26	0	0
AMY1C:278	1	0	1	0	0
ENAH:55740	15	0	9	0	0
GCNT3:9245	20	0	19	0	0
TNFAIP6:7130	1	0	1	0	0
GLB1L:79411	17	0	16	0	0
BMP3:651	14	0	14	0	0
